log_id,student_id,job_id,match_score_train,skill_gap,verified_skills,years_exp,model_score,skill_score_feature
L001096,S0142,J006,0.5443,0.48,7,3.5,0.5443,3.48
L001097,S0023,J010,0.4844,0.11,2,1.9,0.4844,3.11
L001098,S0080,J045,0.4079,-0.56,7,0.6,0.4079,2.44
L001099,S0054,J025,0.8643,2.1,6,1.0,0.8643,5.1
L001100,S0223,J036,0.4535,-0.38,8,0.1,0.4535,2.62
L001101,S0175,J027,0.258,-1.21,6,0.7,0.258,1.79
L001102,S0183,J010,0.6761,0.7,2,0.8,0.6761,3.7
L001103,S0099,J031,0.7172,1.61,5,1.3,0.7172,4.61
L001104,S0050,J013,0.6705,0.59,2,0.8,0.6705,3.59
L001105,S0019,J032,0.4049,-0.12,4,1.6,0.4049,2.88
L001106,S0296,J040,0.4588,0.35,7,0.9,0.4588,3.35
L001107,S0061,J035,0.7169,0.66,2,1.2,0.7169,3.66
L001108,S0285,J027,0.3933,-0.45,2,1.2,0.3933,2.55
L001109,S0077,J031,0.5157,0.17,7,2.0,0.5157,3.17
L001110,S0104,J047,0.4718,-0.1,7,1.3,0.4718,2.9
L001111,S0281,J014,0.0,-3.45,3,0.0,0.0,-0.4500000000000002
L001112,S0002,J012,0.5018,-0.01,4,0.0,0.5018,2.99
L001113,S0100,J039,0.4867,-0.26,5,1.4,0.4867,2.74
L001114,S0003,J013,0.1289,-2.43,7,1.5,0.1289,0.5699999999999998
L001115,S0105,J035,0.7282,1.2,5,0.0,0.7282,4.2
L001116,S0033,J009,0.2604,-1.03,3,1.8,0.2604,1.97
L001117,S0159,J001,0.5361,-0.08,4,2.0,0.5361,2.92
L001118,S0186,J009,0.6415,0.31,7,2.2,0.6415,3.31
L001119,S0173,J029,0.4548,-0.19,5,0.8,0.4548,2.81
L001120,S0194,J035,0.7599,1.29,3,0.5,0.7599,4.29
L001121,S0284,J033,0.3723,-0.75,3,0.0,0.3723,2.25
L001122,S0037,J022,0.4175,-0.85,7,2.7,0.4175,2.15
L001123,S0162,J007,0.2887,-1.0,6,1.2,0.2887,2.0
L001124,S0155,J017,0.5633,0.14,4,1.8,0.5633,3.14
L001125,S0040,J040,0.5535,0.49,5,1.0,0.5535,3.49
L001126,S0190,J030,0.2247,-1.74,7,0.0,0.2247,1.26
L001127,S0088,J019,0.2941,-0.96,4,0.6,0.2941,2.04
L001128,S0206,J043,0.5108,-0.18,2,1.1,0.5108,2.82
L001129,S0054,J025,0.8661,2.1,6,1.0,0.8661,5.1
L001130,S0013,J024,0.1891,-1.58,8,1.1,0.1891,1.42
L001131,S0208,J044,0.4516,-0.7,6,0.6,0.4516,2.3
L001132,S0251,J008,0.6573,0.37,4,1.5,0.6573,3.37
L001133,S0139,J011,0.0124,-2.55,5,0.3,0.0124,0.4500000000000002
L001134,S0058,J032,0.5132,0.07,3,1.8,0.5132,3.07
L001135,S0031,J031,0.1869,-1.65,3,2.7,0.1869,1.35
L001136,S0056,J023,0.3324,-1.05,4,1.7,0.3324,1.95
L001137,S0062,J021,0.3063,-1.18,4,0.4,0.3063,1.82
L001138,S0272,J011,0.5615,-0.52,8,0.2,0.5615,2.48
L001139,S0132,J039,0.5679,-0.08,8,1.5,0.5679,2.92
L001140,S0208,J027,0.5926,-0.2,6,0.6,0.5926,2.8
L001141,S0079,J008,0.3276,-1.3,8,1.9,0.3276,1.7
L001142,S0099,J047,0.6929,1.31,5,1.3,0.6929,4.3100000000000005
L001143,S0121,J029,0.2753,-0.93,3,2.1,0.2753,2.07
L001144,S0032,J038,0.8424,1.63,2,1.6,0.8424,4.63
L001145,S0117,J022,0.2912,-0.86,3,0.0,0.2912,2.14
L001146,S0108,J048,0.4825,-0.68,4,1.0,0.4825,2.32
L001147,S0053,J046,0.9585,2.39,3,3.7,0.9585,5.390000000000001
L001148,S0091,J039,0.3439,-1.02,8,1.6,0.3439,1.98
L001149,S0073,J032,0.7938,1.78,3,1.9,0.7938,4.78
L001150,S0235,J032,0.5774,0.5,8,1.1,0.5774,3.5
L001151,S0013,J026,0.3535,-0.78,8,1.1,0.3535,2.2199999999999998
L001152,S0077,J025,0.6146,0.57,7,2.0,0.6146,3.57
L001153,S0268,J005,0.3812,-0.21,7,1.2,0.3812,2.79
L001154,S0131,J045,0.4044,-0.88,4,1.6,0.4044,2.12
L001155,S0164,J049,0.8288,2.05,2,2.0,0.8288,5.05
L001156,S0253,J045,0.4493,-0.38,6,2.8,0.4493,2.62
L001157,S0273,J048,0.353,-0.59,4,1.0,0.353,2.41
L001158,S0185,J044,0.4348,-0.31,5,1.7,0.4348,2.69
L001159,S0203,J029,0.5106,-0.24,6,1.0,0.5106,2.76
L001160,S0150,J043,0.4349,-0.29,7,1.4,0.4349,2.71
L001161,S0131,J040,0.4714,0.12,4,1.6,0.4714,3.12
L001162,S0110,J041,0.768,0.9,3,1.4,0.768,3.9
L001163,S0146,J037,0.0873,-1.8,7,0.6,0.0873,1.2
L001164,S0087,J040,0.5219,0.23,3,1.3,0.5219,3.23
L001165,S0200,J012,0.6073,0.02,7,0.8,0.6073,3.02
L001166,S0188,J040,0.3177,-1.13,5,1.4,0.3177,1.87
L001167,S0003,J039,0.1403,-2.53,7,1.5,0.1403,0.4700000000000002
L001168,S0047,J007,0.649,1.18,4,0.6,0.649,4.18
L001169,S0251,J032,0.7298,1.27,4,1.5,0.7298,4.27
L001170,S0206,J027,0.5359,0.32,2,1.1,0.5359,3.32
L001171,S0246,J021,0.0,-3.29,6,2.7,0.0,-0.29000000000000004
L001172,S0262,J047,0.2635,-0.87,7,0.4,0.2635,2.13
L001173,S0265,J025,0.7652,1.5,6,2.2,0.7652,4.5
L001174,S0174,J042,0.4672,0.56,4,2.7,0.4672,3.56
L001175,S0078,J018,0.541,-0.04,6,2.0,0.541,2.96
L001176,S0062,J026,0.6737,0.62,4,0.4,0.6737,3.62
L001177,S0255,J027,0.3429,-1.3,4,1.3,0.3429,1.7
L001178,S0053,J038,1.0,2.49,3,3.7,1.0,5.49
L001179,S0249,J035,0.548,0.22,8,1.8,0.548,3.22
L001180,S0260,J036,0.8453,1.44,3,1.5,0.8453,4.4399999999999995
L001181,S0093,J009,0.6174,0.43,8,1.2,0.6174,3.43
L001182,S0177,J002,0.7203,1.23,2,1.1,0.7203,4.23
L001183,S0069,J036,0.6874,0.79,4,1.6,0.6874,3.79
L001184,S0279,J004,0.6044,0.37,8,2.1,0.6044,3.37
L001185,S0207,J026,0.6675,0.21,5,0.6,0.6675,3.21
L001186,S0141,J031,0.4038,-0.58,3,0.8,0.4038,2.42
L001187,S0020,J029,0.4757,0.45,3,0.9,0.4757,3.45
L001188,S0078,J045,0.3877,-0.44,6,2.0,0.3877,2.56
L001189,S0214,J013,0.202,-1.5,2,2.0,0.202,1.5
L001190,S0042,J034,0.7243,1.46,7,0.6,0.7243,4.46
L001191,S0019,J022,0.3943,-0.62,4,1.6,0.3943,2.38
L001192,S0135,J011,0.1392,-2.13,5,0.4,0.1392,0.8700000000000001
L001193,S0228,J004,0.7143,0.98,5,0.9,0.7143,3.98
L001194,S0085,J016,0.4838,-0.12,3,2.2,0.4838,2.88
L001195,S0024,J012,0.3839,-0.76,7,0.7,0.3839,2.24
L001196,S0235,J043,0.3012,-0.7,8,1.1,0.3012,2.3
L001197,S0111,J002,0.4507,-0.57,8,2.5,0.4507,2.43
L001198,S0180,J039,0.5249,0.08,3,1.0,0.5249,3.08
L001199,S0050,J041,0.5249,0.79,2,0.8,0.5249,3.79
L001200,S0072,J006,0.7568,0.99,3,2.8,0.7568,3.99
L001201,S0187,J033,0.6089,0.67,2,1.1,0.6089,3.67
L001202,S0009,J031,0.3108,-1.24,8,1.9,0.3108,1.76
L001203,S0286,J026,0.633,0.27,8,0.6,0.633,3.27
L001204,S0237,J037,0.2477,-1.1,4,1.6,0.2477,1.9
L001205,S0184,J008,0.5152,-0.09,4,3.3,0.5152,2.91
L001206,S0260,J006,0.9388,2.44,3,1.5,0.9388,5.4399999999999995
L001207,S0052,J005,0.1257,-2.43,2,2.6,0.1257,0.5699999999999998
L001208,S0280,J017,0.4886,0.04,7,1.3,0.4886,3.04
L001209,S0236,J024,0.3944,-1.0,7,2.3,0.3944,2.0
L001210,S0133,J031,0.4735,-0.31,6,2.7,0.4735,2.69
L001211,S0108,J042,0.4781,0.42,4,1.0,0.4781,3.42
L001212,S0107,J019,0.5019,0.05,2,1.3,0.5019,3.05
L001213,S0196,J003,0.86,2.18,6,1.5,0.86,5.18
L001214,S0256,J009,0.4493,-0.5,6,2.5,0.4493,2.5
L001215,S0049,J037,0.3254,-0.93,7,0.2,0.3254,2.07
L001216,S0182,J026,0.5837,0.55,8,0.9,0.5837,3.55
L001217,S0100,J027,0.4819,-0.06,5,1.4,0.4819,2.94
L001218,S0055,J004,0.3354,-0.22,8,2.6,0.3354,2.78
L001219,S0025,J013,0.6227,0.52,7,1.9,0.6227,3.52
L001220,S0134,J026,0.6073,0.76,2,0.0,0.6073,3.76
L001221,S0260,J014,0.3828,-0.76,3,1.5,0.3828,2.24
L001222,S0215,J035,0.5973,0.61,6,2.7,0.5973,3.61
L001223,S0084,J006,0.7095,1.29,7,2.5,0.7095,4.29
L001224,S0026,J048,0.3469,-0.8,7,0.5,0.3469,2.2
L001225,S0197,J038,0.7454,1.21,4,2.5,0.7454,4.21
L001226,S0259,J007,0.5675,0.54,5,2.1,0.5675,3.54
L001227,S0022,J011,0.0,-2.72,4,1.1,0.0,0.2799999999999998
L001228,S0252,J039,0.0,-2.74,3,1.0,0.0,0.2599999999999998
L001229,S0042,J044,0.6004,0.26,7,0.6,0.6004,3.26
L001230,S0293,J046,0.6023,1.32,6,1.8,0.6023,4.32
L001231,S0247,J007,0.4164,-0.69,5,2.7,0.4164,2.31
L001232,S0042,J022,0.6985,0.96,7,0.6,0.6985,3.96
L001233,S0053,J010,0.6713,0.99,3,3.7,0.6713,3.99
L001234,S0065,J014,0.4822,-0.26,7,1.3,0.4822,2.74
L001235,S0090,J046,0.6821,1.49,2,1.6,0.6821,4.49
L001236,S0278,J008,0.4848,-0.59,8,2.0,0.4848,2.41
L001237,S0014,J046,0.7091,1.3,6,2.1,0.7091,4.3
L001238,S0217,J031,0.1653,-1.73,7,0.7,0.1653,1.27
L001239,S0023,J017,0.4535,0.11,2,1.9,0.4535,3.11
L001240,S0153,J045,0.4143,-0.34,8,1.6,0.4143,2.66
L001241,S0210,J047,0.343,-0.76,5,1.8,0.343,2.24
L001242,S0153,J013,0.4252,-0.14,8,1.6,0.4252,2.86
L001243,S0163,J046,0.8397,1.9,6,1.8,0.8397,4.9
L001244,S0011,J013,0.3744,-0.31,8,1.5,0.3744,2.69
L001245,S0115,J032,0.7824,1.06,8,1.5,0.7824,4.0600000000000005
L001246,S0070,J036,0.289,-1.08,2,1.0,0.289,1.92
L001247,S0160,J039,0.5594,0.05,2,1.5,0.5594,3.05
L001248,S0091,J021,0.2101,-2.02,8,1.6,0.2101,0.98
L001249,S0201,J041,0.4813,-0.25,5,1.9,0.4813,2.75
L001250,S0100,J031,0.5064,0.04,5,1.4,0.5064,3.04
L001251,S0278,J028,0.6938,0.91,8,2.0,0.6938,3.91
L001252,S0002,J016,0.5997,0.89,4,0.0,0.5997,3.89
L001253,S0065,J048,0.7262,1.34,7,1.3,0.7262,4.34
L001254,S0221,J043,0.5792,-0.08,5,1.6,0.5792,2.92
L001255,S0219,J027,0.6756,0.4,2,1.1,0.6756,3.4
L001256,S0187,J000,0.5667,0.07,2,1.1,0.5667,3.07
L001257,S0049,J013,0.4083,-0.83,7,0.2,0.4083,2.17
L001258,S0003,J022,0.0983,-2.13,7,1.5,0.0983,0.8700000000000001
L001259,S0208,J040,0.5589,0.5,6,0.6,0.5589,3.5
L001260,S0032,J027,0.4692,0.03,2,1.6,0.4692,3.03
L001261,S0136,J009,0.3839,-0.21,8,0.6,0.3839,2.79
L001262,S0161,J012,0.2058,-1.6,7,0.4,0.2058,1.4
L001263,S0068,J000,0.4063,-0.31,6,2.1,0.4063,2.69
L001264,S0077,J039,0.4535,-0.13,7,2.0,0.4535,2.87
L001265,S0039,J019,0.6476,0.97,6,2.4,0.6476,3.9699999999999998
L001266,S0295,J038,0.7896,1.78,8,2.5,0.7896,4.78
L001267,S0061,J019,0.7078,0.86,2,1.2,0.7078,3.86
L001268,S0265,J049,0.8221,2.5,6,2.2,0.8221,5.5
L001269,S0262,J018,0.4434,-0.57,7,0.4,0.4434,2.43
L001270,S0225,J010,0.5138,-0.02,7,0.3,0.5138,2.98
L001271,S0159,J031,0.6463,0.32,4,2.0,0.6463,3.32
L001272,S0222,J014,0.147,-1.87,4,1.2,0.147,1.13
L001273,S0295,J022,0.632,0.38,8,2.5,0.632,3.38
L001274,S0142,J024,0.3388,-1.42,7,3.5,0.3388,1.58
L001275,S0057,J043,0.2936,-1.15,2,1.4,0.2936,1.85
L001276,S0226,J045,0.4519,-0.4,3,2.3,0.4519,2.6
L001277,S0061,J045,0.4423,-0.24,2,1.2,0.4423,2.76
L001278,S0111,J010,0.412,-0.67,8,2.5,0.412,2.33
L001279,S0222,J040,0.6173,0.33,4,1.2,0.6173,3.33
L001280,S0227,J037,0.6154,0.43,8,2.7,0.6154,3.43
L001281,S0166,J041,0.0925,-1.79,6,2.7,0.0925,1.21
L001282,S0254,J004,0.7241,1.35,4,1.8,0.7241,4.35
L001283,S0254,J003,0.8715,2.35,4,1.8,0.8715,5.35
L001284,S0241,J015,0.505,0.32,4,1.4,0.505,3.32
L001285,S0185,J022,0.5277,0.39,5,1.7,0.5277,3.39
L001286,S0047,J032,0.5494,0.68,4,0.6,0.5494,3.68
L001287,S0107,J046,0.5932,0.75,2,1.3,0.5932,3.75
L001288,S0199,J044,0.184,-1.77,7,2.1,0.184,1.23
L001289,S0105,J028,0.9489,1.9,5,0.0,0.9489,4.9
L001290,S0006,J009,0.2974,-1.06,7,2.5,0.2974,1.94
L001291,S0087,J013,0.3263,-0.57,3,1.3,0.3263,2.43
L001292,S0043,J030,0.154,-1.65,4,1.9,0.154,1.35
L001293,S0123,J025,0.6081,0.99,3,1.2,0.6081,3.99
L001294,S0172,J024,0.2737,-1.31,5,0.5,0.2737,1.69
L001295,S0088,J032,0.2996,-1.06,4,0.6,0.2996,1.94
L001296,S0260,J014,0.3352,-0.76,3,1.5,0.3352,2.24
L001297,S0139,J046,0.511,-0.15,5,0.3,0.511,2.85
L001298,S0134,J010,0.6393,0.26,2,0.0,0.6393,3.26
L001299,S0160,J048,0.5461,0.35,2,1.5,0.5461,3.35
L001300,S0009,J049,0.411,0.16,8,1.9,0.411,3.16
L001301,S0187,J037,0.4556,-0.33,2,1.1,0.4556,2.67
L001302,S0014,J018,0.5364,-0.1,6,2.1,0.5364,2.9
L001303,S0110,J016,0.8962,1.8,3,1.4,0.8962,4.8
L001304,S0295,J046,0.9009,1.68,8,2.5,0.9009,4.68
L001305,S0165,J029,0.2553,-1.02,7,1.4,0.2553,1.98
L001306,S0272,J037,0.4768,0.18,8,0.2,0.4768,3.18
L001307,S0169,J022,0.74,1.24,3,2.1,0.74,4.24
L001308,S0243,J033,0.5577,0.02,5,2.0,0.5577,3.02
L001309,S0138,J020,0.3784,-0.27,5,1.3,0.3784,2.73
L001310,S0286,J034,0.5562,0.37,8,0.6,0.5562,3.37
L001311,S0072,J045,0.3015,-1.01,3,2.8,0.3015,1.99
L001312,S0088,J043,0.0731,-2.26,4,0.6,0.0731,0.7400000000000002
L001313,S0103,J005,0.5514,0.15,5,1.4,0.5514,3.15
L001314,S0226,J009,0.5787,0.1,3,2.3,0.5787,3.1
L001315,S0171,J043,0.2861,-1.2,8,3.1,0.2861,1.8
L001316,S0232,J025,0.5355,0.27,3,2.1,0.5355,3.27
L001317,S0160,J022,0.5607,0.45,2,1.5,0.5607,3.45
L001318,S0127,J042,0.7542,1.64,2,2.3,0.7542,4.64
L001319,S0212,J001,0.2448,-0.82,5,1.5,0.2448,2.18
L001320,S0292,J045,0.3954,-0.74,3,1.3,0.3954,2.26
L001321,S0272,J025,0.7464,0.88,8,0.2,0.7464,3.88
L001322,S0121,J042,0.4223,0.07,3,2.1,0.4223,3.07
L001323,S0100,J003,0.8123,1.44,5,1.4,0.8123,4.4399999999999995
L001324,S0132,J041,0.6186,0.22,8,1.5,0.6186,3.22
L001325,S0207,J011,0.2883,-1.29,5,0.6,0.2883,1.71
L001326,S0111,J025,0.4538,-0.27,8,2.5,0.4538,2.73
L001327,S0004,J008,0.179,-1.53,4,1.5,0.179,1.47
L001328,S0252,J049,0.306,-1.04,3,1.0,0.306,1.96
L001329,S0128,J036,0.3818,-0.48,3,1.7,0.3818,2.52
L001330,S0289,J044,0.0931,-1.97,2,1.8,0.0931,1.03
L001331,S0137,J035,0.5674,0.03,4,1.2,0.5674,3.03
L001332,S0202,J021,0.0438,-2.64,4,2.1,0.0438,0.3599999999999999
L001333,S0257,J007,0.5267,0.2,4,0.0,0.5267,3.2
L001334,S0177,J008,0.6785,0.83,2,1.1,0.6785,3.83
L001335,S0266,J044,0.3347,-0.97,2,1.6,0.3347,2.0300000000000002
L001336,S0279,J009,0.5223,0.07,8,2.1,0.5223,3.07
L001337,S0183,J016,0.7963,1.6,2,0.8,0.7963,4.6
L001338,S0244,J007,0.8482,1.95,3,2.0,0.8482,4.95
L001339,S0053,J014,0.3633,-0.61,3,3.7,0.3633,2.39
L001340,S0297,J006,0.441,-0.21,3,1.1,0.441,2.79
L001341,S0281,J020,0.5117,-0.85,3,0.0,0.5117,2.15
L001342,S0158,J030,0.2439,-1.17,8,0.9,0.2439,1.83
L001343,S0029,J040,0.6921,0.91,5,3.5,0.6921,3.91
L001344,S0007,J040,0.6872,0.87,8,1.7,0.6872,3.87
L001345,S0076,J005,0.2622,-1.38,2,2.4,0.2622,1.62
L001346,S0065,J046,0.9887,2.74,7,1.3,0.9887,5.74
L001347,S0136,J023,0.6269,0.49,8,0.6,0.6269,3.49
L001348,S0087,J017,0.5229,-0.37,3,1.3,0.5229,2.63
L001349,S0248,J016,0.6888,0.62,7,1.2,0.6888,3.62
L001350,S0229,J008,0.3668,-0.71,5,1.7,0.3668,2.29
L001351,S0152,J016,0.4239,-0.3,7,0.9,0.4239,2.7
L001352,S0255,J014,0.0,-2.8,4,1.3,0.0,0.20000000000000018
L001353,S0100,J023,0.5976,0.84,5,1.4,0.5976,3.84
L001354,S0060,J012,0.3486,-1.19,7,1.6,0.3486,1.81
L001355,S0036,J045,0.4811,-0.34,2,1.4,0.4811,2.66
L001356,S0165,J004,0.3741,-0.72,7,1.4,0.3741,2.2800000000000002
L001357,S0217,J014,0.0,-3.33,7,0.7,0.0,-0.33000000000000007
L001358,S0077,J040,0.5822,0.77,7,2.0,0.5822,3.77
L001359,S0089,J039,0.0858,-1.89,3,1.3,0.0858,1.11
L001360,S0131,J022,0.4273,-0.38,4,1.6,0.4273,2.62
L001361,S0297,J040,0.2789,-1.21,3,1.1,0.2789,1.79
L001362,S0130,J042,0.7307,1.25,2,2.1,0.7307,4.25
L001363,S0118,J023,0.4597,-0.13,4,0.0,0.4597,2.87
L001364,S0118,J031,0.3516,-0.93,4,0.0,0.3516,2.07
L001365,S0289,J028,0.5613,-0.17,2,1.8,0.5613,2.83
L001366,S0190,J002,0.4058,-0.64,7,0.0,0.4058,2.36
L001367,S0188,J028,0.339,-0.53,5,1.4,0.339,2.4699999999999998
L001368,S0236,J009,0.3436,-0.6,7,2.3,0.3436,2.4
L001369,S0248,J048,0.4343,-0.28,7,1.2,0.4343,2.7199999999999998
L001370,S0052,J021,0.0,-3.53,2,2.6,0.0,-0.5299999999999998
L001371,S0165,J008,0.301,-1.42,7,1.4,0.301,1.58
L001372,S0270,J005,0.5054,0.18,4,1.7,0.5054,3.18
L001373,S0005,J013,0.4599,-0.74,8,2.3,0.4599,2.26
L001374,S0279,J010,0.4216,-0.03,8,2.1,0.4216,2.97
L001375,S0238,J039,0.4243,-0.35,7,2.1,0.4243,2.65
L001376,S0090,J035,0.5838,0.59,2,1.6,0.5838,3.59
L001377,S0129,J038,0.5648,0.47,8,1.1,0.5648,3.4699999999999998
L001378,S0156,J025,0.5798,-0.05,5,0.4,0.5798,2.95
L001379,S0079,J007,0.4751,0.1,8,1.9,0.4751,3.1
L001380,S0103,J004,0.6374,0.75,5,1.4,0.6374,3.75
L001381,S0184,J034,0.6399,0.81,4,3.3,0.6399,3.81
L001382,S0093,J006,0.7567,1.93,8,1.2,0.7567,4.93
L001383,S0030,J043,0.3888,-0.54,5,0.4,0.3888,2.46
L001384,S0066,J048,0.48,-0.16,6,1.0,0.48,2.84
L001385,S0006,J010,0.2443,-1.16,7,2.5,0.2443,1.84
L001386,S0231,J029,0.4904,-0.46,6,1.0,0.4904,2.54
L001387,S0238,J014,0.1804,-1.65,7,2.1,0.1804,1.35
L001388,S0211,J042,0.6121,-0.07,4,0.9,0.6121,2.93
L001389,S0068,J003,0.763,0.99,6,2.1,0.763,3.99
L001390,S0061,J015,0.5492,0.56,2,1.2,0.5492,3.56
L001391,S0281,J022,0.2128,-1.75,3,0.0,0.2128,1.25
L001392,S0199,J013,0.28,-1.37,7,2.1,0.28,1.63
L001393,S0179,J005,0.1706,-1.24,8,1.4,0.1706,1.76
L001394,S0124,J021,0.1834,-1.8,8,2.3,0.1834,1.2
L001395,S0089,J046,0.4455,-0.19,3,1.3,0.4455,2.81
L001396,S0196,J028,0.8604,1.98,6,1.5,0.8604,4.98
L001397,S0093,J030,0.4118,-0.67,8,1.2,0.4118,2.33
L001398,S0262,J037,0.2996,-0.87,7,0.4,0.2996,2.13
L001399,S0053,J045,0.5389,0.59,3,3.7,0.5389,3.59
L001400,S0096,J024,0.2069,-1.65,4,1.9,0.2069,1.35
L001401,S0231,J016,0.5714,0.34,6,1.0,0.5714,3.34
L001402,S0091,J010,0.365,-0.72,8,1.6,0.365,2.2800000000000002
L001403,S0181,J038,0.8085,1.71,3,1.0,0.8085,4.71
L001404,S0281,J021,0.0,-3.15,3,0.0,0.0,-0.1499999999999999
L001405,S0003,J000,0.0425,-2.13,7,1.5,0.0425,0.8700000000000001
L001406,S0007,J044,0.4269,-0.33,8,1.7,0.4269,2.67
L001407,S0159,J005,0.5621,0.12,4,2.0,0.5621,3.12
L001408,S0238,J039,0.3495,-0.35,7,2.1,0.3495,2.65
L001409,S0015,J005,0.6096,0.96,2,2.0,0.6096,3.96
L001410,S0226,J029,0.528,0.1,3,2.3,0.528,3.1
L001411,S0095,J007,0.5249,0.23,7,0.7,0.5249,3.23
L001412,S0108,J010,0.4452,-0.68,4,1.0,0.4452,2.32
L001413,S0170,J035,0.6637,0.61,3,3.0,0.6637,3.61
L001414,S0084,J038,0.6711,1.19,7,2.5,0.6711,4.1899999999999995
L001415,S0115,J041,0.6373,0.46,8,1.5,0.6373,3.46
L001416,S0088,J005,0.1656,-1.86,4,0.6,0.1656,1.14
L001417,S0214,J045,0.1777,-1.7,2,2.0,0.1777,1.3
L001418,S0039,J019,0.6424,0.97,6,2.4,0.6424,3.9699999999999998
L001419,S0156,J043,0.271,-1.05,5,0.4,0.271,1.95
L001420,S0233,J008,0.4052,-0.76,4,1.5,0.4052,2.24
L001421,S0203,J044,0.2992,-0.94,6,1.0,0.2992,2.06
L001422,S0142,J000,0.2653,-1.02,7,3.5,0.2653,1.98
L001423,S0213,J025,0.4037,-0.5,3,2.0,0.4037,2.5
L001424,S0237,J005,0.3369,-1.0,4,1.6,0.3369,2.0
L001425,S0283,J012,0.2372,-1.09,6,2.5,0.2372,1.91
L001426,S0158,J029,0.4331,-0.07,8,0.9,0.4331,2.93
L001427,S0158,J035,0.4699,0.33,8,0.9,0.4699,3.33
L001428,S0268,J023,0.6145,0.79,7,1.2,0.6145,3.79
L001429,S0035,J002,0.2187,-1.34,3,1.9,0.2187,1.66
L001430,S0104,J042,0.6733,1.3,7,1.3,0.6733,4.3
L001431,S0124,J019,0.5756,0.2,8,2.3,0.5756,3.2
L001432,S0057,J012,0.2691,-0.55,2,1.4,0.2691,2.45
L001433,S0035,J025,0.2866,-1.04,3,1.9,0.2866,1.96
L001434,S0287,J007,0.5747,0.25,3,2.1,0.5747,3.25
L001435,S0158,J026,0.637,0.33,8,0.9,0.637,3.33
L001436,S0131,J024,0.3759,-0.78,4,1.6,0.3759,2.2199999999999998
L001437,S0139,J041,0.2009,-1.55,5,0.3,0.2009,1.45
L001438,S0195,J015,0.5689,0.3,8,2.6,0.5689,3.3
L001439,S0011,J045,0.4424,-0.51,8,1.5,0.4424,2.49
L001440,S0125,J043,0.1985,-1.72,2,2.3,0.1985,1.28
L001441,S0174,J028,0.6395,0.66,4,2.7,0.6395,3.66
L001442,S0146,J025,0.2774,-1.1,7,0.6,0.2774,1.9
L001443,S0052,J016,0.2883,-1.33,2,2.6,0.2883,1.67
L001444,S0072,J047,0.3589,-0.91,3,2.8,0.3589,2.09
L001445,S0148,J022,0.7418,0.97,4,1.4,0.7418,3.9699999999999998
L001446,S0252,J015,0.1662,-2.04,3,1.0,0.1662,0.96
L001447,S0069,J002,0.5036,0.29,4,1.6,0.5036,3.29
L001448,S0172,J039,0.3215,-1.31,5,0.5,0.3215,1.69
L001449,S0011,J034,0.5875,0.49,8,1.5,0.5875,3.49
L001450,S0240,J030,0.3147,-1.1,4,1.5,0.3147,1.9
L001451,S0140,J042,0.7803,1.35,6,0.7,0.7803,4.35
L001452,S0012,J048,0.6773,0.99,4,2.3,0.6773,3.99
L001453,S0189,J041,0.3814,-0.23,3,0.9,0.3814,2.77
L001454,S0112,J032,0.5344,-0.04,2,1.5,0.5344,2.96
L001455,S0007,J002,0.5583,0.37,8,1.7,0.5583,3.37
L001456,S0164,J012,0.6324,0.65,2,2.0,0.6324,3.65
L001457,S0003,J010,0.0064,-2.23,7,1.5,0.0064,0.77
L001458,S0272,J004,0.6562,0.88,8,0.2,0.6562,3.88
L001459,S0191,J038,0.5147,0.18,6,0.4,0.5147,3.18
L001460,S0069,J020,0.737,1.19,4,1.6,0.737,4.1899999999999995
L001461,S0012,J044,0.476,0.39,4,2.3,0.476,3.39
L001462,S0265,J016,0.8567,2.0,6,2.2,0.8567,5.0
L001463,S0070,J035,0.2893,-1.18,2,1.0,0.2893,1.82
L001464,S0153,J010,0.5559,0.06,8,1.6,0.5559,3.06
L001465,S0228,J036,0.7058,1.18,5,0.9,0.7058,4.18
L001466,S0127,J049,0.8597,1.94,2,2.3,0.8597,4.9399999999999995
L001467,S0298,J017,0.1647,-1.87,8,1.5,0.1647,1.13
L001468,S0216,J033,0.6077,0.71,8,2.5,0.6077,3.71
L001469,S0122,J039,0.3572,-0.76,3,1.9,0.3572,2.24
L001470,S0296,J031,0.379,-0.25,7,0.9,0.379,2.75
L001471,S0119,J009,0.0898,-2.06,5,1.1,0.0898,0.94
L001472,S0046,J035,0.4831,-0.3,7,1.3,0.4831,2.7
L001473,S0232,J044,0.4276,-0.73,3,2.1,0.4276,2.27
L001474,S0085,J005,0.2692,-1.22,3,2.2,0.2692,1.78
L001475,S0208,J010,0.5698,-0.1,6,0.6,0.5698,2.9
L001476,S0086,J042,0.5672,0.53,4,2.7,0.5672,3.5300000000000002
L001477,S0078,J000,0.4529,0.06,6,2.0,0.4529,3.06
L001478,S0213,J041,0.2682,-0.9,3,2.0,0.2682,2.1
L001479,S0215,J026,0.5937,0.61,6,2.7,0.5937,3.61
L001480,S0134,J017,0.5793,0.26,2,0.0,0.5793,3.26
L001481,S0047,J047,0.4119,-0.22,4,0.6,0.4119,2.78
L001482,S0094,J031,0.4638,-0.08,2,1.8,0.4638,2.92
L001483,S0092,J017,0.1054,-2.35,2,2.4,0.1054,0.6499999999999999
L001484,S0000,J027,0.5967,0.6,2,0.0,0.5967,3.6
