log_id,student_id,job_id,match_score_served,skill_score_served,skill_gap,verified_skills,years_exp,skew
L001090,S0113,J027,0.451,3.25,-0.15,5,1.5,0.0
L001091,S0190,J018,0.4429,2.609,-0.74,7,0.0,0.0983
L001092,S0287,J000,0.4939,2.493,-0.75,3,2.1,0.0864
L001093,S0258,J025,0.467,2.314,-0.62,5,0.0,0.0675
L001094,S0068,J044,0.4364,2.933,-1.01,6,2.1,0.085
L001095,S0016,J035,0.3466,1.713,-1.12,4,0.7,0.0653
L001096,S0189,J018,0.5518,3.119,-0.23,3,0.9,0.0986
L001097,S0291,J006,0.7481,2.573,0.83,3,3.0,0.0861
L001098,S0168,J047,0.4799,3.74,0.14,7,1.3,0.0
L001099,S0007,J038,0.8292,3.6,1.77,8,1.7,0.059
L001100,S0162,J026,0.2664,1.252,-1.6,6,1.2,0.105
L001101,S0035,J009,0.2881,1.888,-1.34,3,1.9,0.0556
L001102,S0164,J011,0.51,3.985,-0.35,2,2.0,0.071
L001103,S0223,J027,0.2316,2.32,-1.08,8,0.1,0.0
L001104,S0095,J004,0.4712,2.48,-0.47,7,0.7,0.0995
L001105,S0261,J014,0.4704,4.491,-0.43,2,1.7,0.0421
L001106,S0007,J020,0.8236,3.626,1.27,8,1.7,0.1119
L001107,S0285,J000,0.6196,2.991,-0.25,2,1.2,0.0812
L001108,S0030,J001,0.3917,3.36,-0.34,5,0.4,0.0
L001109,S0213,J046,0.6172,2.446,0.5,3,2.0,0.0928
L001110,S0019,J039,0.3437,2.606,-1.02,4,1.6,0.051
L001111,S0076,J047,0.3194,2.181,-1.48,2,2.4,0.1217
L001112,S0030,J040,0.7428,3.394,0.66,5,0.4,0.0674
L001113,S0210,J013,0.4495,2.889,-0.66,5,1.8,0.0985
L001114,S0160,J018,0.6328,3.668,0.35,2,1.5,0.0362
L001115,S0184,J046,0.8349,3.539,1.61,4,3.3,0.0578
L001116,S0003,J033,0.2871,1.07,-1.53,7,1.5,0.0
L001117,S0277,J041,0.5626,3.22,-0.08,7,0.0,0.0
L001118,S0100,J011,0.3589,3.377,-0.96,5,1.4,0.0742
L001119,S0217,J015,0.3298,1.611,-1.33,7,0.7,0.0815
L001120,S0008,J019,0.8934,4.632,2.0,2,1.1,0.0633
L001121,S0239,J021,0.0637,2.68,-1.92,7,1.1,0.0
L001122,S0210,J012,0.4575,2.867,-0.46,5,1.8,0.0543
L001123,S0258,J017,0.3592,2.302,-1.02,5,0.0,0.0435
L001124,S0212,J008,0.2886,2.903,-0.72,5,1.5,0.0462
L001125,S0263,J022,0.8377,4.553,1.32,2,1.5,0.0664
L001126,S0017,J006,0.7441,2.015,0.28,2,2.3,0.069
L001127,S0012,J003,0.8791,4.29,2.39,4,2.3,0.0
L001128,S0063,J025,0.3354,1.8,-1.1,3,0.3,0.0
L001129,S0039,J014,0.3249,3.57,-1.33,6,2.4,0.0
L001130,S0171,J016,0.6225,2.7,0.3,8,3.1,0.0
L001131,S0058,J041,0.3529,2.77,-0.53,3,1.8,0.0
L001132,S0044,J019,0.6741,3.062,0.43,7,2.7,0.0631
L001133,S0047,J013,0.4824,3.38,-0.12,4,0.6,0.0
L001134,S0082,J017,0.5322,2.79,-0.56,5,0.4,0.1006
L001135,S0253,J022,0.5334,3.344,0.12,6,2.8,0.0481
L001136,S0066,J011,0.3439,3.168,-1.16,6,1.0,0.0562
L001137,S0139,J041,0.3419,1.793,-1.55,5,0.3,0.0861
L001138,S0181,J037,0.4784,3.51,-0.09,3,1.0,0.0
L001139,S0032,J010,0.4985,3.479,0.13,2,1.6,0.0972
L001140,S0170,J041,0.6554,3.473,0.11,3,3.0,0.1264
L001141,S0173,J000,0.4338,3.041,-0.19,5,0.8,0.0625
L001142,S0287,J024,0.3133,2.483,-1.15,3,2.1,0.0659
L001143,S0007,J009,0.6002,3.606,0.37,8,1.7,0.0712
L001144,S0280,J009,0.6387,3.383,0.14,7,1.3,0.086
L001145,S0083,J039,0.2521,1.706,-1.95,5,0.9,0.1114
L001146,S0053,J014,0.4784,4.315,-0.61,3,3.7,0.0506
L001147,S0050,J030,0.5209,4.09,-0.21,2,0.8,0.0
L001148,S0028,J035,0.6344,3.468,0.63,4,1.6,0.0767
L001149,S0100,J024,0.4635,3.345,-0.26,5,1.4,0.0099
L001150,S0276,J030,0.3434,3.065,-1.28,3,1.5,0.0902
L001151,S0291,J004,0.5263,2.568,-0.37,3,3.0,0.0754
L001152,S0266,J025,0.5191,2.977,0.03,2,1.6,0.0934
L001153,S0053,J036,0.8872,4.336,1.59,3,3.7,0.0913
L001154,S0171,J025,0.5451,2.725,-0.2,8,3.1,0.0493
L001155,S0153,J037,0.5341,3.402,-0.24,8,1.6,0.0835
L001156,S0081,J040,0.7519,3.97,1.27,4,2.1,0.0
L001157,S0231,J014,0.1431,2.761,-2.16,6,1.0,0.0422
L001158,S0152,J019,0.4831,2.143,-0.5,7,0.9,0.0866
L001159,S0211,J039,0.286,2.169,-1.47,4,0.9,0.0784
L001160,S0253,J024,0.4671,3.349,-0.28,6,2.8,0.0575
L001161,S0017,J028,0.5951,2.034,-0.12,2,2.3,0.1088
L001162,S0277,J021,0.3082,3.237,-1.38,7,0.0,0.0349
L001163,S0017,J046,0.6128,2.042,0.08,2,2.3,0.1247
L001164,S0163,J046,0.9279,3.8,1.9,6,1.8,0.0
L001165,S0180,J017,0.5895,3.68,0.38,3,1.0,0.0
L001166,S0073,J005,0.6854,4.517,0.98,3,1.9,0.0741
L001167,S0091,J043,0.3205,2.644,-1.32,8,1.6,0.1278
L001168,S0193,J013,0.7702,4.424,0.88,4,0.0,0.0883
L001169,S0090,J015,0.6697,3.427,0.49,2,1.6,0.0734
L001170,S0117,J008,0.3556,2.371,-1.26,3,0.0,0.0617
L001171,S0007,J020,0.784,3.614,1.27,8,1.7,0.088
L001172,S0199,J033,0.4475,2.13,-0.47,7,2.1,0.0
L001173,S0093,J038,0.9036,3.67,1.83,8,1.2,0.0793
L001174,S0179,J019,0.5858,2.31,-0.34,8,1.4,0.1
L001175,S0095,J015,0.4112,2.452,-0.47,7,0.7,0.0444
L001176,S0031,J006,0.5643,1.684,-0.05,3,2.7,0.0674
L001177,S0054,J045,0.822,5.054,1.3,6,1.0,0.1078
L001178,S0087,J029,0.5148,2.962,-0.27,3,1.3,0.0637
L001179,S0278,J016,0.6865,3.049,0.61,8,2.0,0.0776
L001180,S0140,J002,0.4858,3.55,0.35,6,0.7,0.0
L001181,S0003,J016,0.4317,1.121,-1.33,7,1.5,0.1024
L001182,S0248,J043,0.3,3.02,-0.88,7,1.2,0.0
L001183,S0011,J032,0.6839,3.245,0.49,8,1.5,0.1108
L001184,S0112,J032,0.6195,2.699,-0.04,2,1.5,0.0787
L001185,S0239,J012,0.4765,2.733,-0.62,7,1.1,0.1058
L001186,S0244,J023,0.8722,4.157,1.65,3,2.0,0.0139
L001187,S0152,J019,0.4129,2.14,-0.5,7,0.9,0.0794
L001188,S0254,J031,0.6156,4.25,0.95,4,1.8,0.0
L001189,S0182,J026,0.7054,3.381,0.55,8,0.9,0.0614
L001190,S0096,J039,0.2555,1.98,-1.65,4,1.9,0.0592
L001191,S0105,J001,0.6676,4.031,0.3,5,0.0,0.0618
L001192,S0068,J017,0.4359,2.927,-0.41,6,2.1,0.0739
L001193,S0211,J007,0.5904,2.168,-0.07,4,0.9,0.0764
L001194,S0272,J046,0.9457,3.828,1.88,8,0.2,0.0951
L001195,S0021,J028,0.7415,3.241,1.09,5,0.8,0.1023
L001196,S0201,J049,0.8312,3.083,1.15,5,1.9,0.0652
L001197,S0073,J001,0.708,4.521,0.78,3,1.9,0.0827
L001198,S0248,J031,0.4743,3.046,-0.28,7,1.2,0.0529
L001199,S0026,J003,0.6171,2.523,0.6,7,0.5,0.0453
L001200,S0097,J040,0.6456,3.69,0.97,5,1.5,0.0408
L001201,S0129,J044,0.361,2.307,-1.63,8,1.1,0.0735
L001202,S0109,J037,0.5669,3.668,0.03,2,2.6,0.0761
L001203,S0288,J028,0.9016,3.693,1.56,7,1.0,0.0669
L001204,S0245,J018,0.3256,2.079,-1.23,7,2.0,0.0186
L001205,S0014,J038,0.8242,3.221,1.4,6,2.1,0.041
L001206,S0128,J032,0.4787,2.22,-0.48,3,1.7,0.0
L001207,S0210,J024,0.4448,2.888,-0.76,5,1.8,0.0958
L001208,S0259,J008,0.4033,2.766,-0.86,5,2.1,0.0514
L001209,S0201,J001,0.4474,3.068,-0.65,5,1.9,0.0367
L001210,S0198,J046,0.7725,3.196,1.26,4,1.8,0.0728
L001211,S0078,J026,0.6069,3.299,0.46,6,2.0,0.0781
L001212,S0296,J001,0.4467,3.086,-0.65,7,0.9,0.073
L001213,S0086,J040,0.558,2.765,0.03,4,2.7,0.0694
L001214,S0164,J019,0.8378,4.008,1.35,2,2.0,0.1151
L001215,S0169,J010,0.7836,4.502,1.14,3,2.1,0.1233
L001216,S0138,J043,0.1561,2.03,-1.87,5,1.3,0.0
L001217,S0254,J000,0.792,4.292,1.05,4,1.8,0.0834
L001218,S0152,J029,0.3547,2.151,-1.1,7,0.9,0.1014
L001219,S0126,J032,0.6901,3.011,0.25,4,1.6,0.1218
L001220,S0171,J015,0.5915,2.724,-0.2,8,3.1,0.0481
L001221,S0071,J028,0.8059,3.201,1.03,5,2.5,0.1421
L001222,S0020,J043,0.559,3.672,-0.25,3,0.9,0.0444
L001223,S0236,J017,0.383,2.604,-0.7,7,2.3,0.0084
L001224,S0152,J027,0.4131,2.149,-1.3,7,0.9,0.0973
L001225,S0284,J048,0.4448,1.922,-1.45,3,0.0,0.1435
L001226,S0142,J018,0.3874,2.22,-1.12,7,3.5,0.0804
L001227,S0235,J037,0.446,3.235,-0.4,8,1.1,0.0692
L001228,S0191,J037,0.2753,2.033,-1.62,6,0.4,0.1062
L001229,S0098,J002,0.4863,3.28,0.08,3,0.9,0.0
L001230,S0012,J046,1.0,4.318,2.39,4,2.3,0.0556
L001231,S0220,J041,0.7204,3.873,0.55,8,2.3,0.0454
L001232,S0063,J016,0.4215,1.849,-0.6,3,0.3,0.0986
L001233,S0081,J048,0.7611,3.999,0.67,4,2.1,0.0579
L001234,S0255,J044,0.2779,2.1,-1.8,4,1.3,0.0
L001235,S0110,J042,0.8229,4.2,2.0,3,1.4,0.0
L001236,S0124,J021,0.1196,2.8,-1.8,8,2.3,0.0
L001237,S0013,J002,0.203,2.02,-1.18,8,1.1,0.0
L001238,S0281,J029,0.2884,1.499,-1.75,3,0.0,0.0975
L001239,S0276,J013,0.3993,3.055,-0.48,3,1.5,0.0694
L001240,S0090,J034,0.6586,3.456,0.69,2,1.6,0.1321
L001241,S0241,J002,0.6161,3.249,0.02,4,1.4,0.058
L001242,S0278,J028,0.7795,3.049,0.91,8,2.0,0.0773
L001243,S0176,J023,0.8129,4.64,2.14,7,0.4,0.0
L001244,S0297,J035,0.3653,1.509,-1.31,3,1.1,0.0372
L001245,S0141,J049,0.6401,2.758,0.82,3,0.8,0.0758
L001246,S0148,J035,0.6707,4.187,1.37,4,1.4,0.0338
L001247,S0010,J011,0.235,2.379,-1.97,6,1.1,0.0988
L001248,S0186,J049,0.8848,3.546,1.61,7,2.2,0.072
L001249,S0151,J030,0.1745,2.141,-2.21,3,0.2,0.1029
L001250,S0237,J002,0.3744,2.5,-0.7,4,1.6,0.0
L001251,S0027,J017,0.4281,2.529,-0.81,6,1.3,0.0773
L001252,S0172,J026,0.5788,2.309,-0.51,5,0.5,0.0377
L001253,S0111,J002,0.5061,2.674,-0.57,8,2.5,0.0875
L001254,S0103,J013,0.6543,3.683,0.15,5,1.4,0.0665
L001255,S0260,J038,0.9413,4.155,2.34,3,1.5,0.0294
L001256,S0127,J027,0.5724,3.867,0.44,2,2.3,0.0545
L001257,S0274,J003,0.7141,2.672,0.71,7,0.6,0.125
L001258,S0141,J049,0.6995,2.769,0.82,3,0.8,0.0984
L001259,S0099,J046,1.0,4.955,3.01,5,1.3,0.0891
L001260,S0163,J035,0.6747,3.838,1.0,6,1.8,0.0761
L001261,S0047,J016,0.6828,3.38,0.98,4,0.6,0.0
L001262,S0182,J032,0.6283,3.347,0.65,8,0.9,-0.0069
L001263,S0257,J024,0.3281,2.4,-1.2,4,0.0,0.0
L001264,S0006,J049,0.549,2.14,0.24,7,2.5,0.0
L001265,S0166,J017,0.2088,1.536,-1.79,6,2.7,0.0514
L001266,S0230,J022,0.2523,2.0,-1.2,7,0.9,0.0
L001267,S0164,J046,1.0,4.001,2.05,2,2.0,0.1013
L001268,S0181,J029,0.5124,3.51,0.31,3,1.0,0.0
L001269,S0113,J021,0.2707,3.275,-1.35,5,1.5,0.0503
L001270,S0035,J047,0.2946,1.916,-1.74,3,1.9,0.1111
L001271,S0119,J025,0.4852,1.19,-1.76,5,1.1,0.1007
L001272,S0006,J038,0.6145,2.172,0.34,7,2.5,0.064
L001273,S0010,J014,0.1201,2.39,-2.57,6,1.1,0.1201
L001274,S0188,J009,0.2579,1.57,-1.63,5,1.4,0.0
L001275,S0075,J000,0.7326,4.358,1.13,6,2.5,0.055
L001276,S0020,J001,0.4749,3.67,-0.05,3,0.9,0.0394
L001277,S0281,J022,0.2661,1.51,-1.75,3,0.0,0.1208
L001278,S0077,J000,0.651,3.5,0.27,7,2.0,0.0594
L001279,S0246,J046,0.426,1.31,-0.59,6,2.7,0.0
L001280,S0012,J003,1.0,4.353,2.39,4,2.3,0.1253
L001281,S0134,J022,0.5768,3.598,0.36,2,0.0,0.0763
L001282,S0148,J034,0.7963,4.17,1.47,4,1.4,0.0
L001283,S0214,J018,0.3329,2.025,-1.3,2,2.0,0.0494
L001284,S0234,J036,0.4966,2.54,-0.16,4,2.9,0.0
L001285,S0166,J040,0.4667,1.583,-1.19,6,2.7,0.1456
L001286,S0246,J043,0.0677,1.344,-2.59,6,2.7,0.0677
L001287,S0128,J037,0.3187,2.241,-1.38,3,1.7,0.0429
L001288,S0050,J039,0.767,4.133,0.49,2,0.8,0.087
L001289,S0036,J019,0.5761,3.36,0.76,2,1.4,0.0
L001290,S0194,J017,0.7502,4.139,0.79,3,0.5,0.098
L001291,S0155,J009,0.5116,3.44,0.24,4,1.8,0.0
L001292,S0005,J017,0.4964,2.806,-0.54,8,2.3,0.091
L001293,S0039,J020,0.7573,3.593,1.27,6,2.4,0.0463
L001294,S0088,J005,0.2407,1.678,-1.86,4,0.6,0.0754
L001295,S0046,J020,0.528,2.523,0.2,7,1.3,0.047
L001296,S0012,J008,0.6461,4.316,0.69,4,2.3,0.0529
L001297,S0239,J016,0.5424,2.71,0.28,7,1.1,0.0598
L001298,S0057,J033,0.5394,2.75,0.15,2,1.4,0.0
L001299,S0246,J015,0.3177,1.356,-1.59,6,2.7,0.0923
L001300,S0209,J031,0.5973,3.102,-0.26,8,1.6,0.1242
L001301,S0038,J020,0.4393,1.993,-0.33,4,1.1,0.0459
L001302,S0068,J046,0.6699,2.89,0.99,6,2.1,0.0
L001303,S0013,J013,0.3201,2.049,-1.48,8,1.1,0.0578
L001304,S0026,J040,0.5553,2.539,-0.2,7,0.5,0.0786
L001305,S0276,J002,0.4784,3.055,-0.18,3,1.5,0.0697
L001306,S0011,J004,0.6899,3.19,0.29,8,1.5,0.0
L001307,S0021,J012,0.5658,3.241,-0.11,5,0.8,0.1014
L001308,S0140,J013,0.5649,3.587,0.05,6,0.7,0.0746
L001309,S0238,J036,0.6605,3.297,0.55,7,2.1,0.0941
L001310,S0133,J036,0.6593,3.039,0.29,6,2.7,0.0982
L001311,S0161,J024,0.136,1.7,-1.9,7,0.4,0.0
L001312,S0175,J005,0.318,2.209,-1.31,6,0.7,0.0381
L001313,S0232,J028,0.7342,3.191,1.07,3,2.1,0.0412
L001314,S0200,J033,0.6929,3.367,0.72,7,0.8,0.0936
L001315,S0212,J041,0.5349,2.918,-0.42,5,1.5,0.0757
L001316,S0035,J029,0.3594,1.897,-1.34,3,1.9,0.0734
L001317,S0287,J047,0.5524,2.524,-1.15,3,2.1,0.1471
L001318,S0020,J045,0.5493,3.65,-0.05,3,0.9,0.0
L001319,S0166,J033,0.3455,1.532,-1.09,6,2.7,0.0432
L001320,S0074,J007,0.6272,2.904,0.66,8,2.3,0.0886
L001321,S0218,J046,0.7639,2.921,1.0,6,2.8,0.042
L001322,S0203,J025,0.5355,3.027,0.06,6,1.0,0.1339
L001323,S0145,J025,0.2986,1.212,-1.72,7,1.2,0.0646
L001324,S0159,J024,0.5661,3.664,0.02,4,2.0,0.0888
L001325,S0123,J007,0.8734,3.89,1.69,3,1.2,0.0
L001326,S0238,J042,0.7463,3.29,1.05,7,2.1,0.0808
L001327,S0271,J013,0.2681,2.43,-1.07,2,2.2,0.0
L001328,S0022,J017,0.3621,1.627,-1.72,4,1.1,0.0935
L001329,S0128,J008,0.2882,2.267,-1.38,3,1.7,0.0945
L001330,S0295,J008,0.4392,3.58,-0.02,8,2.5,0.0
L001331,S0263,J046,1.0,4.569,2.62,2,1.5,0.099
L001332,S0289,J041,0.2805,1.985,-1.37,2,1.8,0.1103
L001333,S0161,J039,0.2119,1.75,-1.9,7,0.4,0.0997
L001334,S0160,J031,0.6142,3.65,0.35,2,1.5,0.0
L001335,S0258,J046,0.7064,2.319,0.38,5,0.0,0.0784
L001336,S0043,J009,0.4872,2.65,-0.55,4,1.9,0.0
L001337,S0045,J021,0.3322,3.265,-1.38,4,1.4,0.0893
L001338,S0184,J034,0.6946,3.51,0.81,4,3.3,0.0
L001339,S0124,J011,0.3445,2.851,-1.5,8,2.3,0.1013
L001340,S0069,J031,0.6081,3.56,0.19,4,1.6,0.1403
L001341,S0181,J027,0.5958,3.555,0.11,3,1.0,0.0899
L001342,S0182,J001,0.5203,3.382,-0.35,8,0.9,0.064
L001343,S0119,J039,0.1438,1.168,-2.46,5,1.1,0.0563
L001344,S0015,J030,0.5491,4.46,0.16,2,2.0,0.0
L001345,S0200,J010,0.508,3.363,0.02,7,0.8,0.0861
L001346,S0002,J032,0.6778,3.331,0.59,4,0.0,0.0829
L001347,S0237,J043,0.3116,2.535,-1.4,4,1.6,0.0695
L001348,S0171,J004,0.6604,2.747,-0.2,8,3.1,0.0937
L001349,S0056,J014,0.1246,1.512,-3.45,4,1.7,0.1246
L001350,S0009,J014,0.0,2.06,-2.84,8,1.9,0.0
L001351,S0160,J002,0.5075,3.65,0.45,2,1.5,0.0
L001352,S0150,J038,0.8073,3.61,1.81,7,1.4,0.0
L001353,S0040,J019,0.587,3.23,0.59,5,1.0,0.0801
L001354,S0245,J044,0.2045,2.11,-1.83,7,2.0,0.0798
L001355,S0137,J024,0.5593,2.867,-0.77,4,1.2,0.0742
L001356,S0239,J012,0.4887,2.723,-0.62,7,1.1,0.0858
L001357,S0128,J036,0.4741,2.22,-0.48,3,1.7,0.0
L001358,S0278,J019,0.6692,3.064,0.41,8,2.0,0.1084
L001359,S0266,J019,0.6989,2.997,0.33,2,1.6,0.1347
L001360,S0280,J045,0.4823,3.34,-0.36,7,1.3,0.0
L001361,S0221,J029,0.6703,3.853,0.62,5,1.6,0.0652
L001362,S0174,J035,0.5472,2.782,-0.04,4,2.7,0.0437
L001363,S0234,J042,0.5734,2.564,0.34,4,2.9,0.048
L001364,S0069,J010,0.5336,3.536,0.19,4,1.6,0.0926
L001365,S0094,J030,0.3043,3.264,-1.08,2,1.8,0.089
L001366,S0088,J034,0.4686,1.689,-1.06,4,0.6,0.098
L001367,S0081,J005,0.6258,4.011,0.47,4,2.1,0.0823
L001368,S0241,J040,0.5947,3.22,0.52,4,1.4,0.0
L001369,S0205,J019,0.9358,4.472,1.84,6,2.0,0.0633
L001370,S0133,J010,0.5743,3.01,-0.31,6,2.7,0.0398
L001371,S0299,J020,0.668,3.024,0.69,5,0.2,0.0689
L001372,S0238,J030,0.2163,3.291,-1.05,7,2.1,0.0817
L001373,S0121,J045,0.3304,2.293,-1.43,3,2.1,0.047
L001374,S0010,J000,0.3341,2.33,-0.87,6,1.1,0.0
L001375,S0004,J044,0.2834,2.1,-1.83,4,1.5,0.0604
L001376,S0177,J025,0.7879,4.43,1.53,2,1.1,0.0
L001377,S0059,J008,0.3682,2.897,-0.75,8,1.5,0.095
L001378,S0234,J029,0.3584,2.54,-0.66,4,2.9,0.0
L001379,S0198,J003,0.7091,3.182,1.26,4,1.8,0.0441
L001380,S0038,J013,0.3569,2.02,-1.53,4,1.1,0.1005
L001381,S0146,J032,0.3701,1.801,-0.9,7,0.6,0.0018
L001382,S0112,J045,0.3146,2.66,-1.04,2,1.5,0.0
L001383,S0273,J009,0.5446,2.748,-0.49,4,1.0,0.0764
L001384,S0106,J036,0.5015,2.6,-0.12,4,0.8,0.0394
L001385,S0014,J024,0.5751,3.274,-0.4,6,2.1,0.1484
L001386,S0141,J005,0.341,2.72,-0.78,3,0.8,0.0
L001387,S0090,J030,0.3138,3.39,-0.91,2,1.6,0.0
L001388,S0171,J009,0.5095,2.758,-0.5,8,3.1,0.1161
L001389,S0034,J030,0.4223,3.221,-1.11,5,1.6,0.0619
L001390,S0289,J024,0.2395,1.962,-1.67,2,1.8,0.064
L001391,S0165,J008,0.3245,2.239,-1.42,7,1.4,0.1171
L001392,S0223,J031,0.3614,2.338,-0.98,8,0.1,0.035
L001393,S0131,J019,0.5747,2.82,0.22,4,1.6,0.0
L001394,S0108,J019,0.5443,2.67,0.02,4,1.0,0.1
L001395,S0277,J045,0.4011,3.22,-0.48,7,0.0,0.0
L001396,S0151,J006,0.5424,2.09,0.39,3,0.2,0.0
L001397,S0235,J016,0.6355,3.228,0.8,8,1.1,0.0566
L001398,S0041,J024,0.3166,2.517,-1.09,7,1.5,0.0143
L001399,S0092,J015,0.2578,0.983,-1.95,2,2.4,0.0656
L001400,S0260,J043,0.6312,4.201,0.24,3,1.5,0.1225
L001401,S0010,J026,0.4291,2.33,-0.47,6,1.1,0.0
L001402,S0277,J009,0.5702,3.253,0.02,7,0.0,0.0667
L001403,S0149,J029,0.5176,3.279,0.03,5,0.7,0.0985
L001404,S0288,J001,0.4896,3.66,-0.04,7,1.0,0.0
L001405,S0137,J020,0.7459,2.895,0.53,4,1.2,0.1292
L001406,S0055,J043,0.3277,2.743,-1.22,8,2.6,0.1256
L001407,S0062,J046,0.8342,3.42,1.52,4,0.4,0.0
L001408,S0275,J048,0.7202,3.782,0.43,3,0.7,0.1045
L001409,S0170,J008,0.5004,3.446,-0.19,3,3.0,0.0721
L001410,S0245,J019,0.5914,2.116,-0.53,7,2.0,0.0927
L001411,S0288,J046,0.829,3.697,1.76,7,1.0,0.0748
L001412,S0275,J038,0.9105,3.768,1.93,3,0.7,0.077
L001413,S0065,J020,0.9326,4.69,2.34,7,1.3,0.1005
L001414,S0019,J020,0.622,2.58,0.28,4,1.6,0.0
L001415,S0115,J032,0.7113,3.808,1.06,8,1.5,0.0958
L001416,S0227,J035,0.8804,4.089,1.23,8,2.7,0.1189
L001417,S0072,J044,0.4727,2.749,-1.21,3,2.8,0.117
L001418,S0180,J017,0.7026,3.699,0.38,3,1.0,0.0375
L001419,S0219,J009,0.7782,3.847,0.6,2,1.1,0.0938
L001420,S0127,J029,0.7359,3.901,0.64,2,2.3,0.1219
L001421,S0272,J006,0.9712,3.792,2.08,8,0.2,0.0237
L001422,S0036,J040,0.6319,3.36,0.66,2,1.4,0.0
L001423,S0226,J017,0.546,3.325,0.0,3,2.3,0.0495
L001424,S0006,J021,0.1127,2.172,-2.46,7,2.5,0.0635
L001425,S0288,J016,0.7663,3.711,1.26,7,1.0,0.1013
L001426,S0095,J030,0.3051,2.468,-1.87,7,0.7,0.0767
L001427,S0232,J011,0.4536,3.234,-1.13,3,2.1,0.1287
L001428,S0032,J023,0.6662,3.442,0.93,2,1.6,0.0238
L001429,S0244,J024,0.7273,4.188,0.55,3,2.0,0.0752
L001430,S0194,J005,0.6484,4.138,0.59,3,0.5,0.0969
L001431,S0215,J003,0.8063,3.41,1.51,6,2.7,0.0
L001432,S0178,J009,0.7,3.963,0.71,5,1.8,0.1067
L001433,S0050,J019,0.8209,4.09,1.49,2,0.8,0.0
L001434,S0270,J043,0.4061,3.682,-0.22,4,1.7,0.0044
L001435,S0291,J024,0.4082,2.537,-1.07,3,3.0,0.0132
L001436,S0076,J025,0.5331,2.174,-0.78,2,2.4,0.1086
L001437,S0256,J007,0.5978,2.756,0.5,6,2.5,0.1111
L001438,S0081,J022,0.7343,4.009,0.77,4,2.1,0.0775
L001439,S0182,J018,0.585,3.395,0.05,8,0.9,0.0908
L001440,S0042,J017,0.6962,4.182,0.86,7,0.6,0.0449
L001441,S0015,J019,0.7963,4.491,1.86,2,2.0,0.0621
L001442,S0056,J029,0.2864,1.495,-1.75,4,1.7,0.091
L001443,S0223,J011,0.1908,2.371,-1.98,8,0.1,0.1021
L001444,S0105,J002,0.6444,4.0,0.8,5,0.0,0.0
L001445,S0019,J002,0.4766,2.622,-0.62,4,1.6,0.0831
L001446,S0170,J046,0.8311,3.41,1.51,3,3.0,0.0
L001447,S0020,J037,0.4248,3.65,0.05,3,0.9,0.0
L001448,S0119,J006,0.5564,1.202,-0.56,5,1.1,0.1245
L001449,S0148,J013,0.6843,4.216,0.67,4,1.4,0.0924
L001450,S0171,J028,0.6656,2.7,0.6,8,3.1,0.0
L001451,S0110,J034,0.8859,4.241,1.5,3,1.4,0.0815
L001452,S0086,J039,0.5145,2.796,-0.87,4,2.7,0.1329
L001453,S0111,J042,0.7225,2.688,0.43,8,2.5,0.117
L001454,S0210,J016,0.6755,2.893,0.44,5,1.8,0.1056
L001455,S0027,J043,0.2817,2.516,-1.41,6,1.3,0.0518
L001456,S0108,J028,0.7508,2.649,0.52,4,1.0,0.0579
L001457,S0126,J003,0.822,3.006,1.05,4,1.6,0.1115
L001458,S0049,J006,0.7802,2.685,0.97,7,0.2,0.0299
L001459,S0090,J042,0.8299,3.421,1.19,2,1.6,0.0627
L001460,S0255,J007,0.4574,2.1,-0.1,4,1.3,0.0
L001461,S0263,J042,1.0,4.52,2.32,2,1.5,0.0
L001462,S0185,J043,0.4436,3.604,-0.31,5,1.7,0.0289
L001463,S0131,J048,0.3243,2.82,-0.48,4,1.6,0.0
L001464,S0138,J011,0.2118,2.063,-2.27,5,1.3,0.0666
L001465,S0048,J028,0.5925,2.57,0.47,2,1.3,0.0
L001466,S0022,J017,0.2073,1.623,-1.72,4,1.1,0.0853
L001467,S0221,J014,0.3984,3.874,-1.08,5,1.6,0.108
L001468,S0057,J026,0.5896,2.789,-0.05,2,1.4,0.0779
L001469,S0285,J017,0.5096,2.975,-0.35,2,1.2,0.0491
L001470,S0114,J021,0.2058,2.8,-1.8,7,1.4,0.0
L001471,S0005,J038,0.754,2.785,0.96,8,2.3,0.0494
L001472,S0231,J041,0.3732,2.752,-0.56,6,1.0,0.0244
L001473,S0043,J012,0.535,2.699,-0.65,4,1.9,0.0979
L001474,S0187,J020,0.7699,3.311,0.97,2,1.1,0.0829
L001475,S0175,J021,0.1596,2.232,-2.41,6,0.7,0.0833
L001476,S0111,J014,0.168,2.687,-2.27,8,2.5,0.1133
L001477,S0141,J026,0.5105,2.754,-0.08,3,0.8,0.0688
L001478,S0062,J013,0.5647,3.463,-0.08,4,0.4,0.0861
L001479,S0093,J043,0.5109,3.63,-0.27,8,1.2,0.0
L001480,S0241,J035,0.6644,3.276,0.42,4,1.4,0.1115
L001481,S0270,J010,0.6092,3.716,0.38,4,1.7,0.0719
L001482,S0023,J017,0.535,3.45,0.11,2,1.9,0.0803
L001483,S0284,J035,0.4855,1.874,-0.95,3,0.0,0.0483
L001484,S0207,J002,0.622,3.043,-0.19,5,0.6,0.066
L001485,S0057,J004,0.5295,2.789,-0.15,2,1.4,0.0786
L001486,S0125,J033,0.4966,2.251,-0.42,2,2.3,0.1428
