candidate_id,years_experience,skill_match_score,profile_completeness,protected_group,consent_ts
C00450,2.7,1.0,0.825,A,2025-05-09T00:00:00
C00451,9.9,0.619,0.698,B,2025-09-13T00:00:00
C00452,5.1,0.435,0.778,B,2026-04-13T00:00:00
C00453,5.0,0.54,0.785,A,2025-04-09T00:00:00
C00454,2.9,0.775,0.386,A,2026-02-23T00:00:00
C00455,2.2,0.497,0.847,A,2025-02-14T00:00:00
C00456,0.0,0.648,0.772,B,2025-12-27T00:00:00
C00457,6.9,0.597,0.835,A,2025-02-07T00:00:00
C00458,5.3,0.486,0.557,B,2025-01-31T00:00:00
C00459,3.5,0.495,0.703,B,2025-01-19T00:00:00
C00460,3.6,0.659,0.586,B,2026-02-07T00:00:00
C00461,6.2,0.405,0.862,A,2025-10-14T00:00:00
C00462,0.0,0.69,0.539,B,2025-12-12T00:00:00
C00463,2.2,0.506,0.611,A,2025-03-19T00:00:00
C00464,0.6,0.625,0.83,B,2026-04-06T00:00:00
C00465,9.3,0.877,0.656,B,2026-02-09T00:00:00
C00466,6.6,0.566,0.611,B,2025-09-02T00:00:00
C00467,0.0,0.784,0.886,B,2026-03-26T00:00:00
C00468,0.0,0.242,0.892,A,2025-03-13T00:00:00
C00469,3.6,0.506,0.858,A,2025-05-27T00:00:00
C00470,2.6,0.606,0.877,A,2025-01-25T00:00:00
C00471,0.0,0.985,0.715,A,2025-03-24T00:00:00
C00472,9.8,0.208,0.719,A,2026-02-25T00:00:00
C00473,4.9,0.581,0.653,A,2025-07-24T00:00:00
C00474,5.4,0.891,0.775,A,2025-11-19T00:00:00
C00475,1.9,0.443,0.671,A,2026-03-17T00:00:00
C00476,6.2,0.557,0.685,A,2026-01-18T00:00:00
C00477,2.9,0.666,0.84,B,2025-07-19T00:00:00
C00478,3.1,0.637,0.928,B,2025-06-24T00:00:00
C00479,5.8,0.913,0.81,A,2025-02-24T00:00:00
C00480,0.0,0.69,1.0,A,2026-02-19T00:00:00
C00481,8.8,0.866,0.644,A,2026-05-08T00:00:00
C00482,4.5,0.528,0.474,B,2025-09-08T00:00:00
C00483,7.8,0.452,0.857,A,2025-09-07T00:00:00
C00484,0.8,0.555,0.634,A,2026-03-01T00:00:00
C00485,1.2,0.368,0.709,A,2025-06-21T00:00:00
C00486,0.5,0.697,0.485,A,2025-07-23T00:00:00
C00487,4.8,0.523,0.615,A,2026-03-23T00:00:00
C00488,4.2,0.466,0.525,B,2025-07-09T00:00:00
C00489,2.6,0.7,0.685,B,2026-04-09T00:00:00
C00490,1.0,0.371,0.691,B,2025-03-22T00:00:00
C00491,0.2,0.754,0.763,B,2025-09-06T00:00:00
C00492,3.9,0.504,0.936,B,2025-09-02T00:00:00
C00493,2.6,0.832,0.852,A,2025-06-03T00:00:00
C00494,1.9,0.521,0.507,B,2026-04-27T00:00:00
C00495,8.6,0.726,0.841,A,2025-08-30T00:00:00
C00496,3.8,0.636,0.767,A,2026-03-16T00:00:00
C00497,7.8,0.749,0.735,B,2025-04-20T00:00:00
C00498,2.4,0.622,0.747,A,2025-06-24T00:00:00
C00499,4.7,0.267,0.781,A,2025-08-28T00:00:00
C00500,3.8,0.802,0.646,B,2025-10-09T00:00:00
C00501,0.0,0.582,0.723,B,2025-04-25T00:00:00
C00502,8.3,0.758,0.928,B,2025-06-06T00:00:00
C00503,3.6,0.738,0.644,A,2025-11-08T00:00:00
C00504,6.2,0.445,0.596,A,2025-05-20T00:00:00
C00505,1.7,0.417,0.741,B,2026-01-15T00:00:00
C00506,3.5,0.731,0.58,A,2025-08-27T00:00:00
C00507,1.4,0.539,0.492,B,2026-04-30T00:00:00
C00508,7.7,0.787,0.698,A,2025-04-29T00:00:00
C00509,4.9,0.564,0.967,A,2026-02-26T00:00:00
C00510,5.1,0.805,0.744,A,2025-09-03T00:00:00
C00511,8.1,0.685,0.777,B,2025-02-13T00:00:00
C00512,7.5,0.658,0.43,A,2025-12-19T00:00:00
C00513,6.3,0.525,0.816,A,2025-04-16T00:00:00
C00514,0.0,0.646,0.764,A,2025-03-11T00:00:00
C00515,1.9,0.839,0.65,A,2025-09-23T00:00:00
C00516,1.0,0.589,0.777,A,2026-01-28T00:00:00
C00517,6.2,0.706,0.776,B,2025-05-09T00:00:00
C00518,4.5,0.609,0.591,A,2025-11-08T00:00:00
C00519,0.0,0.625,0.8,B,2025-01-08T00:00:00
C00520,3.4,0.945,0.93,B,2025-04-03T00:00:00
C00521,0.0,0.84,0.716,A,2026-01-13T00:00:00
C00522,3.8,0.616,0.62,A,2025-01-07T00:00:00
C00523,0.0,0.643,0.723,B,2025-06-28T00:00:00
C00524,5.6,0.46,0.878,A,2025-09-11T00:00:00
C00525,5.1,0.565,0.566,A,2025-02-03T00:00:00
C00526,9.7,0.662,0.837,B,2026-05-05T00:00:00
C00527,6.5,0.77,0.648,B,2025-09-12T00:00:00
C00528,2.7,0.75,0.786,B,2025-06-19T00:00:00
C00529,6.5,0.378,0.665,A,2026-05-04T00:00:00
C00530,0.0,0.795,0.665,B,2025-10-07T00:00:00
C00531,1.1,0.582,0.978,B,2025-12-06T00:00:00
C00532,5.0,0.403,0.539,A,2025-02-15T00:00:00
C00533,0.0,0.867,0.823,B,2025-03-21T00:00:00
C00534,3.9,0.893,1.0,A,2025-01-23T00:00:00
C00535,0.9,0.653,0.853,A,2025-09-15T00:00:00
C00536,4.3,0.742,0.55,A,2026-02-23T00:00:00
C00537,0.8,0.753,0.558,A,2026-03-27T00:00:00
C00538,5.3,0.879,0.637,A,2025-10-15T00:00:00
C00539,4.1,0.746,0.774,B,2025-01-28T00:00:00
C00540,8.2,0.334,0.784,B,2025-11-10T00:00:00
C00541,4.0,1.0,0.559,B,2025-11-15T00:00:00
C00542,1.7,0.813,0.619,B,2025-10-26T00:00:00
C00543,3.3,0.498,0.628,B,2025-12-27T00:00:00
C00544,0.0,0.394,0.723,A,2025-10-06T00:00:00
C00545,5.2,0.701,1.0,A,2025-12-19T00:00:00
C00546,5.8,0.544,0.61,A,2025-09-01T00:00:00
C00547,11.4,0.666,0.603,A,2025-03-17T00:00:00
C00548,2.1,0.749,0.58,B,2025-02-09T00:00:00
C00549,3.2,0.487,0.845,A,2026-03-30T00:00:00
C00550,2.3,0.377,0.744,A,2025-08-09T00:00:00
C00551,4.6,0.677,0.616,A,2025-06-11T00:00:00
C00552,5.1,0.493,0.696,A,2025-05-27T00:00:00
C00553,3.8,0.629,0.631,B,2025-01-26T00:00:00
C00554,7.3,0.331,0.794,A,2026-04-18T00:00:00
C00555,2.1,0.55,1.0,A,2025-02-11T00:00:00
C00556,7.0,0.743,0.833,A,2025-04-20T00:00:00
C00557,5.6,0.721,0.736,A,2025-08-17T00:00:00
C00558,4.0,0.442,0.65,B,2025-06-29T00:00:00
C00559,3.1,0.366,0.548,A,2025-01-20T00:00:00
C00560,11.3,0.603,0.86,A,2025-06-14T00:00:00
C00561,1.5,0.712,0.852,A,2026-01-25T00:00:00
C00562,4.9,0.681,0.68,B,2025-05-06T00:00:00
C00563,1.7,0.498,0.932,B,2026-03-09T00:00:00
C00564,9.4,0.66,0.753,B,2025-06-30T00:00:00
C00565,6.7,0.9,0.866,B,2025-01-07T00:00:00
C00566,2.0,0.641,0.794,B,2025-02-24T00:00:00
C00567,5.5,0.273,0.723,A,2026-02-10T00:00:00
C00568,4.8,0.641,0.607,A,2025-07-22T00:00:00
C00569,2.5,1.0,0.728,A,2026-05-06T00:00:00
C00570,6.3,0.343,0.876,A,2026-01-30T00:00:00
C00571,5.2,0.606,0.674,B,2025-01-16T00:00:00
C00572,4.6,0.555,0.816,A,2025-06-06T00:00:00
C00573,3.9,0.619,0.588,B,2025-12-29T00:00:00
C00574,5.3,0.639,0.867,B,2025-02-01T00:00:00
C00575,4.7,0.828,0.797,A,2026-05-15T00:00:00
C00576,4.2,0.617,0.57,B,2025-03-25T00:00:00
C00577,2.1,0.855,0.716,B,2026-02-03T00:00:00
C00578,9.1,0.576,0.89,B,2026-02-25T00:00:00
C00579,0.8,0.53,0.561,A,2025-09-10T00:00:00
C00580,5.3,0.466,0.589,A,2026-02-06T00:00:00
C00581,3.0,0.237,0.74,A,2026-03-19T00:00:00
C00582,9.3,0.655,1.0,A,2026-01-03T00:00:00
C00583,1.3,1.0,0.649,A,2025-12-20T00:00:00
C00584,1.8,0.692,0.824,B,2025-07-14T00:00:00
C00585,1.1,0.737,0.789,B,2025-05-27T00:00:00
C00586,5.0,0.517,0.662,A,2026-03-10T00:00:00
C00587,0.0,0.551,0.774,A,2025-04-23T00:00:00
C00588,2.6,0.797,0.683,A,2025-07-27T00:00:00
C00589,0.0,1.0,0.696,A,2025-09-14T00:00:00
C00590,4.7,0.898,0.501,B,2025-07-15T00:00:00
C00591,2.5,0.761,0.746,A,2025-07-06T00:00:00
C00592,0.0,0.607,0.885,A,2025-10-27T00:00:00
C00593,7.3,0.642,0.759,B,2025-06-14T00:00:00
C00594,0.1,0.449,0.914,A,2026-05-10T00:00:00
C00595,6.4,0.31,0.837,A,2025-03-30T00:00:00
C00596,1.9,0.375,0.741,B,2025-07-14T00:00:00
C00597,8.8,0.61,0.656,B,2026-02-27T00:00:00
C00598,6.2,0.542,0.677,B,2025-08-26T00:00:00
C00599,1.0,0.306,0.529,B,2025-12-19T00:00:00
C00600,1.2,0.593,0.71,A,2025-11-20T00:00:00
C00601,5.8,0.536,0.772,B,2025-06-15T00:00:00
C00602,3.2,0.365,1.0,B,2026-01-08T00:00:00
C00603,3.5,0.526,0.829,B,2025-04-29T00:00:00
C00604,7.8,0.536,0.62,B,2026-01-10T00:00:00
C00605,1.8,0.477,0.534,B,2025-03-06T00:00:00
C00606,4.3,0.785,0.719,B,2025-12-14T00:00:00
C00607,6.9,0.219,0.872,A,2025-02-26T00:00:00
C00608,6.4,0.203,0.717,B,2026-03-11T00:00:00
C00609,3.5,0.601,0.831,A,2025-11-09T00:00:00
C00610,3.1,0.619,0.723,B,2025-01-21T00:00:00
C00611,0.0,0.681,0.858,B,2025-02-24T00:00:00
C00612,0.8,0.492,0.51,B,2025-04-04T00:00:00
C00613,5.0,0.416,0.991,B,2026-04-26T00:00:00
C00614,3.6,0.599,0.583,A,2025-10-22T00:00:00
C00615,4.2,0.512,0.869,B,2025-05-20T00:00:00
C00616,7.1,0.91,0.709,B,2025-05-19T00:00:00
C00617,0.4,0.535,0.733,A,2025-01-13T00:00:00
C00618,3.3,0.589,0.714,A,2025-04-12T00:00:00
C00619,4.6,1.0,0.788,A,2026-03-04T00:00:00
C00620,1.9,0.561,0.819,B,2025-10-27T00:00:00
C00621,8.3,0.711,0.909,A,2025-07-03T00:00:00
C00622,6.7,0.729,0.961,B,2025-01-11T00:00:00
C00623,4.9,0.746,0.8,A,2025-06-21T00:00:00
C00624,9.4,0.658,1.0,B,2025-07-11T00:00:00
C00625,0.0,0.639,0.764,A,2025-03-01T00:00:00
C00626,4.0,0.62,0.912,B,2025-10-31T00:00:00
C00627,5.1,0.485,0.814,A,2025-11-27T00:00:00
C00628,1.3,0.665,0.668,B,2026-05-15T00:00:00
C00629,4.9,1.0,0.777,B,2025-06-29T00:00:00
C00630,0.7,0.842,0.825,B,2025-05-18T00:00:00
C00631,6.1,0.661,0.745,B,2026-02-16T00:00:00
C00632,7.2,0.771,0.812,A,2025-06-25T00:00:00
C00633,4.8,0.426,0.88,A,2025-11-12T00:00:00
C00634,0.0,0.548,0.746,A,2026-01-04T00:00:00
C00635,1.1,0.79,0.308,A,2026-03-16T00:00:00
C00636,5.7,0.897,1.0,B,2025-06-09T00:00:00
C00637,4.1,0.446,0.705,B,2025-11-08T00:00:00
C00638,0.0,0.503,0.627,B,2025-03-07T00:00:00
C00639,7.7,1.0,0.581,B,2026-01-25T00:00:00
C00640,4.4,0.619,0.7,B,2025-01-23T00:00:00
C00641,1.5,0.965,0.666,B,2025-12-15T00:00:00
C00642,7.0,0.641,0.639,A,2025-04-15T00:00:00
C00643,2.0,0.649,0.648,A,2025-08-20T00:00:00
C00644,1.9,0.539,0.829,B,2025-02-08T00:00:00
C00645,5.1,0.789,1.0,B,2025-12-11T00:00:00
C00646,9.3,0.872,0.873,A,2025-08-30T00:00:00
C00647,8.9,0.393,0.918,A,2025-11-28T00:00:00
C00648,5.1,0.53,0.693,B,2025-06-23T00:00:00
C00649,5.4,0.783,0.766,A,2025-01-04T00:00:00
C00650,6.4,0.574,0.814,A,2025-10-18T00:00:00
C00651,0.2,0.501,0.651,B,2025-12-16T00:00:00
C00652,5.9,0.802,0.686,B,2025-11-29T00:00:00
C00653,1.8,0.821,0.878,A,2025-05-12T00:00:00
C00654,5.0,0.51,0.914,B,2025-12-25T00:00:00
C00655,3.3,0.642,0.76,A,2025-09-28T00:00:00
C00656,5.5,0.358,0.571,B,2025-04-16T00:00:00
C00657,4.4,0.421,0.706,A,2025-02-25T00:00:00
C00658,0.0,0.625,0.534,B,2025-06-12T00:00:00
C00659,4.5,0.606,0.761,A,2025-01-12T00:00:00
C00660,5.9,0.407,0.788,A,2025-12-25T00:00:00
C00661,5.3,0.457,0.709,B,2025-01-08T00:00:00
C00662,3.7,0.387,0.786,A,2025-01-25T00:00:00
C00663,8.9,0.691,0.813,A,2025-03-21T00:00:00
C00664,4.9,0.206,0.789,A,2025-06-13T00:00:00
C00665,5.3,0.398,0.57,B,2025-01-10T00:00:00
C00666,7.1,0.227,0.712,B,2025-11-11T00:00:00
C00667,5.1,0.684,0.811,B,2025-03-08T00:00:00
C00668,1.3,0.239,0.987,A,2026-02-06T00:00:00
C00669,0.0,0.606,0.709,A,2025-10-07T00:00:00
C00670,2.6,0.928,0.833,A,2025-02-11T00:00:00
C00671,6.3,0.935,0.882,B,2025-07-20T00:00:00
C00672,2.9,0.239,0.721,B,2025-03-12T00:00:00
C00673,6.4,0.66,0.922,B,2026-05-06T00:00:00
C00674,4.4,0.402,0.93,B,2025-10-24T00:00:00
C00675,7.9,0.361,0.957,A,2026-02-09T00:00:00
C00676,3.1,0.577,0.819,B,2025-07-07T00:00:00
C00677,5.4,0.846,1.0,A,2025-03-15T00:00:00
C00678,5.5,0.72,0.658,A,2025-04-28T00:00:00
C00679,8.5,0.457,1.0,A,2025-07-28T00:00:00
C00680,0.0,0.741,0.865,A,2026-01-21T00:00:00
C00681,2.6,0.151,0.951,A,2025-08-04T00:00:00
C00682,6.5,0.449,0.702,A,2026-04-10T00:00:00
C00683,8.6,0.435,0.877,A,2025-07-01T00:00:00
C00684,4.7,0.616,0.964,B,2025-04-27T00:00:00
C00685,3.1,0.559,0.587,A,2025-09-05T00:00:00
C00686,6.3,0.572,0.726,A,2025-02-25T00:00:00
C00687,6.6,0.565,0.429,B,2025-12-01T00:00:00
C00688,2.9,0.604,0.723,B,2025-02-20T00:00:00
C00689,5.0,0.708,0.628,A,2025-11-17T00:00:00
C00690,7.5,0.63,0.717,A,2025-07-11T00:00:00
C00691,9.7,0.543,1.0,B,2025-06-28T00:00:00
C00692,6.2,0.68,1.0,A,2025-11-02T00:00:00
C00693,4.1,0.765,0.534,A,2025-12-19T00:00:00
C00694,3.8,0.489,0.833,B,2026-04-10T00:00:00
C00695,5.7,0.588,0.87,A,2025-05-25T00:00:00
C00696,3.7,0.832,0.699,B,2026-02-10T00:00:00
C00697,4.6,0.379,0.777,B,2026-02-22T00:00:00
C00698,0.8,0.961,0.791,B,2026-05-13T00:00:00
C00699,7.9,0.332,0.548,A,2026-04-28T00:00:00
C00700,0.6,0.531,0.595,A,2026-01-31T00:00:00
C00701,2.7,0.41,0.776,A,2025-05-28T00:00:00
C00702,4.3,1.0,0.765,A,2025-12-14T00:00:00
C00703,10.0,0.499,0.644,B,2026-01-28T00:00:00
C00704,2.7,0.5,0.631,A,2025-05-26T00:00:00
C00705,2.0,0.526,0.737,B,2026-02-11T00:00:00
C00706,2.3,0.619,0.883,B,2025-12-17T00:00:00
C00707,9.0,0.534,0.739,B,2025-09-03T00:00:00
C00708,0.0,0.573,0.993,A,2026-03-07T00:00:00
C00709,1.0,0.0,0.646,A,2025-02-13T00:00:00
C00710,12.2,0.611,0.779,B,2025-12-08T00:00:00
C00711,5.8,0.604,0.697,B,2026-01-29T00:00:00
C00712,0.7,0.808,0.838,B,2025-01-21T00:00:00
C00713,3.9,0.862,0.633,B,2025-07-23T00:00:00
C00714,4.2,0.562,1.0,B,2025-09-16T00:00:00
C00715,6.5,0.763,0.496,A,2025-04-15T00:00:00
C00716,9.5,0.38,1.0,B,2026-03-16T00:00:00
C00717,5.2,0.753,0.763,A,2025-11-10T00:00:00
C00718,2.4,0.486,0.833,B,2025-05-18T00:00:00
C00719,6.4,0.363,0.95,B,2025-08-07T00:00:00
C00720,1.9,0.563,0.879,A,2025-02-26T00:00:00
C00721,0.9,0.88,0.64,A,2025-02-13T00:00:00
C00722,0.0,0.636,0.84,A,2026-01-09T00:00:00
C00723,0.0,0.899,1.0,B,2026-05-07T00:00:00
C00724,1.3,0.45,0.617,A,2025-05-19T00:00:00
C00725,0.5,0.81,1.0,A,2025-05-03T00:00:00
C00726,4.9,0.47,0.808,A,2025-12-08T00:00:00
C00727,0.4,0.645,0.685,A,2025-09-13T00:00:00
C00728,0.0,0.643,0.616,A,2025-03-11T00:00:00
C00729,0.9,0.732,0.717,A,2025-11-30T00:00:00
C00730,2.6,0.65,0.457,A,2025-04-15T00:00:00
C00731,2.2,0.452,0.688,A,2025-02-27T00:00:00
C00732,8.6,0.776,0.711,A,2025-08-21T00:00:00
C00733,2.2,0.946,0.589,A,2026-01-05T00:00:00
C00734,6.6,0.483,0.862,A,2025-09-18T00:00:00
C00735,3.9,0.233,0.717,B,2025-11-21T00:00:00
C00736,3.9,0.7,0.655,A,2025-04-29T00:00:00
C00737,1.5,0.534,0.701,A,2025-09-04T00:00:00
C00738,3.8,0.574,0.803,A,2025-12-23T00:00:00
C00739,1.7,0.711,0.761,A,2025-09-22T00:00:00
C00740,4.5,0.509,0.645,A,2025-04-30T00:00:00
C00741,3.3,0.546,0.769,A,2026-04-23T00:00:00
C00742,1.2,0.58,0.742,B,2025-02-03T00:00:00
C00743,7.0,0.894,0.579,A,2026-04-01T00:00:00
C00744,5.3,0.606,0.707,A,2025-12-29T00:00:00
C00745,2.7,0.353,0.837,A,2025-02-25T00:00:00
C00746,4.4,0.361,0.836,A,2025-05-08T00:00:00
C00747,3.7,0.628,0.716,A,2025-07-04T00:00:00
C00748,1.4,0.374,0.852,B,2026-04-24T00:00:00
C00749,4.2,0.288,0.603,B,2025-09-16T00:00:00
C00750,2.1,0.727,0.608,A,2025-05-10T00:00:00
C00751,1.2,0.737,0.712,A,2026-04-05T00:00:00
C00752,0.0,0.526,0.975,A,2025-03-01T00:00:00
C00753,2.9,0.659,0.774,A,2026-02-13T00:00:00
C00754,5.7,0.638,0.709,B,2026-02-20T00:00:00
C00755,1.9,0.72,0.982,A,2025-07-13T00:00:00
C00756,11.6,0.721,0.707,A,2025-01-22T00:00:00
C00757,6.7,0.079,1.0,B,2026-03-20T00:00:00
C00758,7.9,0.552,0.673,A,2026-04-29T00:00:00
C00759,6.4,0.704,0.598,A,2025-07-09T00:00:00
C00760,9.6,0.518,0.725,B,2025-04-03T00:00:00
C00761,1.6,0.607,0.713,A,2025-05-16T00:00:00
C00762,0.0,0.75,0.629,A,2025-03-10T00:00:00
C00763,2.7,0.616,1.0,A,2025-11-01T00:00:00
C00764,5.7,0.902,0.798,B,2025-09-17T00:00:00
C00765,4.5,0.825,0.82,A,2025-06-27T00:00:00
C00766,4.8,0.576,0.681,A,2025-11-22T00:00:00
C00767,8.0,0.56,0.663,A,2025-11-08T00:00:00
C00768,5.1,0.03,0.904,A,2025-01-06T00:00:00
C00769,6.4,0.535,0.499,B,2025-07-24T00:00:00
C00770,1.2,0.329,0.579,A,2026-03-08T00:00:00
C00771,0.7,0.644,0.713,B,2026-02-02T00:00:00
C00772,8.8,0.631,0.953,B,2026-03-04T00:00:00
C00773,4.3,0.739,0.694,B,2026-04-23T00:00:00
C00774,2.1,0.879,0.812,A,2025-01-31T00:00:00
C00775,2.1,0.595,0.754,B,2025-05-16T00:00:00
C00776,2.1,1.0,0.944,B,2025-08-18T00:00:00
C00777,1.9,0.646,0.512,A,2025-09-13T00:00:00
C00778,0.2,0.338,0.86,B,2026-01-29T00:00:00
C00779,0.0,0.488,0.72,B,2025-12-29T00:00:00
C00780,3.4,0.525,0.889,A,2025-12-20T00:00:00
C00781,2.2,0.718,0.627,B,2025-03-21T00:00:00
C00782,7.3,0.411,0.754,A,2025-12-05T00:00:00
C00783,4.9,0.54,0.735,B,2026-02-02T00:00:00
C00784,4.8,0.568,0.6,B,2026-01-12T00:00:00
C00785,1.8,0.51,0.558,A,2025-10-19T00:00:00
C00786,3.6,0.762,0.663,B,2025-02-14T00:00:00
C00787,5.1,0.728,0.769,A,2025-03-16T00:00:00
C00788,6.1,0.833,0.636,B,2026-01-07T00:00:00
C00789,3.7,0.534,0.7,B,2026-03-11T00:00:00
C00790,7.2,0.841,0.467,A,2026-02-17T00:00:00
C00791,4.0,0.327,0.694,A,2025-08-02T00:00:00
C00792,6.4,0.322,0.904,A,2025-10-21T00:00:00
C00793,2.5,0.357,0.856,A,2025-03-30T00:00:00
C00794,0.0,0.602,0.737,A,2025-10-23T00:00:00
C00795,4.8,0.84,0.787,A,2025-04-08T00:00:00
C00796,6.2,0.48,0.626,A,2026-02-02T00:00:00
C00797,5.7,0.505,0.994,A,2026-01-28T00:00:00
C00798,5.3,0.557,1.0,B,2025-01-26T00:00:00
C00799,3.0,0.715,0.775,B,2026-04-13T00:00:00
C00800,1.6,0.504,1.0,B,2026-02-03T00:00:00
C00801,5.7,0.493,0.648,A,2025-07-09T00:00:00
C00802,5.3,0.331,0.562,B,2025-08-14T00:00:00
C00803,2.3,0.486,0.644,B,2025-02-09T00:00:00
C00804,7.3,0.835,0.717,A,2026-04-14T00:00:00
C00805,1.4,0.618,1.0,A,2025-02-20T00:00:00
C00806,2.2,0.452,0.708,B,2026-04-07T00:00:00
C00807,8.9,0.847,0.621,A,2025-11-24T00:00:00
C00808,6.6,0.483,0.615,A,2026-04-05T00:00:00
C00809,2.9,0.884,0.921,B,2025-07-05T00:00:00
C00810,4.9,0.881,0.9,A,2026-03-24T00:00:00
C00811,4.5,0.611,0.677,A,2025-08-02T00:00:00
C00812,0.0,0.3,0.469,B,2025-06-25T00:00:00
C00813,1.3,1.0,0.581,B,2025-06-18T00:00:00
C00814,3.8,0.677,1.0,A,2026-04-21T00:00:00
C00815,2.9,0.535,0.853,B,2025-08-21T00:00:00
C00816,4.7,0.791,0.76,B,2025-08-28T00:00:00
C00817,7.4,0.74,1.0,A,2025-11-18T00:00:00
C00818,3.0,0.862,1.0,B,2025-10-05T00:00:00
C00819,0.8,0.468,0.745,A,2025-09-28T00:00:00
C00820,5.0,0.664,0.747,A,2025-07-09T00:00:00
C00821,3.0,0.363,0.663,B,2025-03-24T00:00:00
C00822,3.5,0.733,0.707,A,2026-05-13T00:00:00
C00823,3.1,0.595,0.527,B,2025-09-03T00:00:00
C00824,10.7,0.656,0.526,B,2026-05-02T00:00:00
C00825,0.0,0.571,0.492,A,2025-08-19T00:00:00
C00826,2.8,0.55,0.913,B,2025-10-27T00:00:00
C00827,4.0,0.426,0.516,A,2025-09-30T00:00:00
C00828,1.7,0.758,1.0,B,2026-04-28T00:00:00
C00829,6.7,0.898,0.64,A,2025-02-25T00:00:00
C00830,6.4,0.489,1.0,B,2025-09-16T00:00:00
C00831,3.9,0.711,0.695,B,2025-03-18T00:00:00
C00832,3.2,0.686,0.515,A,2026-03-11T00:00:00
C00833,3.7,0.602,0.943,B,2025-09-23T00:00:00
C00834,3.7,0.295,0.96,B,2026-04-07T00:00:00
C00835,3.8,0.34,0.614,B,2025-05-18T00:00:00
C00836,3.4,0.444,0.7,B,2025-03-23T00:00:00
C00837,4.8,0.172,0.614,B,2025-11-11T00:00:00
C00838,6.3,0.882,0.732,A,2025-03-14T00:00:00
C00839,0.3,0.674,0.766,A,2025-07-06T00:00:00
C00840,0.8,0.594,0.697,A,2025-06-06T00:00:00
C00841,0.0,0.162,0.477,B,2025-04-21T00:00:00
C00842,6.6,0.235,0.663,A,2025-03-07T00:00:00
C00843,4.8,0.6,0.856,A,2025-11-25T00:00:00
C00844,5.5,0.994,0.719,A,2026-01-15T00:00:00
C00845,0.0,0.46,0.701,B,2025-07-16T00:00:00
C00846,9.4,0.773,0.61,A,2025-05-21T00:00:00
C00847,2.2,0.504,0.658,B,2025-03-20T00:00:00
C00848,4.5,0.611,0.961,A,2025-12-05T00:00:00
C00849,6.6,0.843,0.579,B,2026-02-09T00:00:00
C00850,1.0,0.531,0.858,A,2025-10-02T00:00:00
C00851,2.4,0.462,0.757,A,2025-08-04T00:00:00
C00852,4.5,0.884,0.787,B,2025-11-21T00:00:00
C00853,12.6,0.609,0.64,B,2026-04-03T00:00:00
C00854,4.9,0.818,0.697,A,2026-05-10T00:00:00
C00855,8.8,0.463,0.749,A,2025-04-07T00:00:00
C00856,7.6,0.881,0.672,B,2025-08-27T00:00:00
C00857,5.1,0.655,0.8,B,2026-03-15T00:00:00
C00858,1.0,0.687,0.819,A,2025-11-13T00:00:00
C00859,7.2,0.626,1.0,A,2026-02-12T00:00:00
C00860,0.0,0.499,0.792,B,2026-05-13T00:00:00
C00861,8.8,0.6,0.463,B,2025-02-21T00:00:00
C00862,4.6,0.511,0.924,B,2025-11-03T00:00:00
C00863,0.0,0.792,0.719,B,2025-09-23T00:00:00
C00864,3.0,0.559,1.0,A,2025-05-23T00:00:00
C00865,6.0,0.301,0.971,B,2025-11-23T00:00:00
C00866,3.3,0.264,0.674,B,2025-02-21T00:00:00
C00867,6.1,0.255,0.858,B,2025-09-05T00:00:00
C00868,1.4,0.724,0.661,A,2025-07-27T00:00:00
C00869,0.1,0.37,0.75,A,2025-07-15T00:00:00
C00870,3.8,0.66,0.851,B,2025-11-04T00:00:00
C00871,4.1,0.627,0.917,A,2026-04-17T00:00:00
C00872,3.0,0.587,0.884,B,2026-04-19T00:00:00
C00873,7.7,0.688,0.761,A,2025-12-17T00:00:00
C00874,1.4,0.632,1.0,B,2025-06-15T00:00:00
C00875,4.9,0.058,0.695,B,2026-04-28T00:00:00
C00876,4.2,0.535,0.509,A,2026-05-15T00:00:00
C00877,0.0,0.685,0.538,A,2026-02-28T00:00:00
C00878,0.0,0.928,0.971,B,2026-03-13T00:00:00
C00879,4.0,0.937,0.739,B,2026-02-13T00:00:00
C00880,9.9,0.327,0.774,A,2026-01-16T00:00:00
C00881,5.7,0.53,0.669,B,2025-12-29T00:00:00
C00882,0.0,0.287,0.682,B,2025-11-16T00:00:00
C00883,0.0,0.904,0.632,A,2025-11-20T00:00:00
C00884,6.2,0.803,0.821,A,2025-07-14T00:00:00
C00885,3.7,0.67,0.735,A,2026-03-20T00:00:00
C00886,7.4,0.633,0.815,A,2025-11-14T00:00:00
C00887,1.4,0.876,0.801,A,2025-11-03T00:00:00
C00888,5.1,0.842,0.686,A,2026-01-06T00:00:00
C00889,6.5,0.832,0.531,B,2025-02-07T00:00:00
C00890,2.7,0.691,0.518,A,2026-04-05T00:00:00
C00891,2.7,0.53,1.0,B,2025-10-19T00:00:00
C00892,4.1,0.753,0.972,A,2026-04-18T00:00:00
C00893,5.6,0.763,0.951,A,2025-02-21T00:00:00
C00894,4.0,0.562,0.649,B,2025-04-27T00:00:00
C00895,6.9,0.53,0.751,B,2026-04-20T00:00:00
C00896,2.6,0.827,0.628,A,2025-12-13T00:00:00
C00897,0.0,0.933,0.553,A,2025-11-20T00:00:00
C00898,9.9,0.45,0.662,A,2025-07-22T00:00:00
C00899,2.2,0.547,0.949,A,2025-10-05T00:00:00
